area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;006102;024;09;1;3;3;1;1;2;2;2;2;1;2;3;3;3;2;2;2;2;2;2;3;3;3;3;2712;343,001569613311;010150006102;01015000610202409;010150006102024091;202109
1;10150;006102;024;10;1;3;2;3;2;2;2;2;2;1;2;3;2;3;2;2;2;2;2;2;3;2;3;2;2712;343,001569613311;010150006102;01015000610202410;010150006102024101;202109
1;10150;006404;023;01;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2713;103,955563786563;010150006404;01015000640402301;010150006404023011;202109
1;10150;006404;023;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2713;103,955563786563;010150006404;01015000640402305;010150006404023051;202109
1;10150;006404;023;06;1;3;2;2;2;3;2;3;2;3;2;3;2;3;2;3;2;2;2;2;2;2;3;2;2713;103,955563786563;010150006404;01015000640402306;010150006404023061;202109
1;10150;006404;023;07;1;2;2;2;2;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;103,955563786563;010150006404;01015000640402307;010150006404023071;202109
1;10150;006404;023;08;1;3;1;2;2;3;2;3;2;3;2;3;2;3;2;3;2;2;2;2;2;2;3;2;2713;103,955563786563;010150006404;01015000640402308;010150006404023081;202109
1;10150;006404;023;09;1;3;2;2;2;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;3;2;2;2;2713;103,955563786563;010150006404;01015000640402309;010150006404023091;202109
1;10150;006404;023;10;1;2;2;2;2;2;2;2;2;3;2;3;2;3;3;3;3;2;2;2;2;2;2;2;2713;103,955563786563;010150006404;01015000640402310;010150006404023101;202109
1;10150;008102;021;01;1;2;2;1;2;3;2;3;2;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2712;112,054221373937;010150008102;01015000810202101;010150008102021011;202109
1;10150;008102;021;02;1;3;2;2;2;3;2;3;2;2;2;3;2;3;2;3;3;2;2;2;2;2;3;2;2712;112,054221373937;010150008102;01015000810202102;010150008102021021;202109
1;10150;008102;021;04;1;3;2;1;2;3;2;3;2;2;1;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;112,054221373937;010150008102;01015000810202104;010150008102021041;202109
1;10150;008102;021;05;1;3;1;2;2;3;2;3;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2712;112,054221373937;010150008102;01015000810202105;010150008102021051;202109
1;10150;008102;021;07;1;2;2;2;2;2;2;2;2;3;2;3;2;3;3;3;3;2;2;2;2;2;2;2;2712;112,054221373937;010150008102;01015000810202107;010150008102021071;202109
1;10150;008102;021;09;1;3;1;1;2;3;2;3;2;3;2;3;2;3;3;3;3;2;2;2;3;1;3;1;2712;112,054221373937;010150008102;01015000810202109;010150008102021091;202109
1;10150;008102;021;10;1;3;1;1;3;3;2;3;2;2;1;3;3;3;3;3;3;2;2;2;2;2;2;2;2712;112,054221373937;010150008102;01015000810202110;010150008102021101;202109
1;10150;008502;023;01;1;1;1;1;2;2;2;2;3;3;3;3;2;3;1;3;3;2;2;2;3;3;3;3;2711;77,7081740165728;010150008502;01015000850202301;010150008502023011;202109
1;10150;008502;023;03;1;3;3;1;1;2;1;2;2;3;3;3;2;2;1;3;3;2;2;2;3;3;3;3;2711;77,7081740165728;010150008502;01015000850202303;010150008502023031;202109
1;10150;008502;023;04;1;2;2;1;2;2;1;2;3;3;3;2;3;2;3;3;3;2;2;1;3;3;2;2;2711;77,7081740165728;010150008502;01015000850202304;010150008502023041;202109
